撃 击
蘄 蕲
誇 夸
氈 毡
輊 轾
甎 砖
預 预
龕 龛
辮 辫
瀠 潆
璣 玑
錢 钱
媧 娲
礦 矿
鶩 鹜
鰨 鳎
齜 龇
綉 绣
貳 贰
踴 踊
銷 销
鄶 郐
閹 阉
鐸 铎
墻 墙
漊 溇
談 谈
襆 幞
豈 岂
駑 驽
織 织
腖 胨
軟 软
遠 远
鶺 鹡
癤 疖
緩 缓
鱨 鲿
齪 龊
飩 饨
歲 岁
鐿 镱
鯽 鲫
黿 鼋
瀋 渖
劌 刿
鋙 铻
閎 闳
餑 饽
鰓 鳃
鮒 鲋
纔 才
攙 搀
頲 颋
謝 谢
檜 桧
丟 丢
無 无
鎢 钨
眥 眦
鵰 雕
氳 氲
殲 歼
漵 溆
鈷 钴
囈 呓
頻 频
媼 媪
綾 绫
曄 晔
賈 贾
運 运
鍍 镀
鋌 铤
嗎 吗
饑 饥
磐 盘
鯒 鲬
衛 卫
諜 谍
蹟 迹
鑣 镳
叢 丛
盤 盘
姦 奸
虯 虬
併 并
剷 铲
斃 毙
賢 贤
蠆 虿
贈 赠
鯖 鲭
銍 铚
鞏 巩
齙 龅
經 经
弔 吊
蘚 藓
剛 刚
馱 驮
閣 阁
鷚 鹨
嚥 咽
頦 颏
鴨 鸭
憫 悯
梱 捆
唸 念
瘺 瘘
媽 妈
鰾 鳔
衆 众
瘍 疡
釋 释
湊 凑
湣 愍
磑 硙
祐 佑
鷓 鹧
廕 荫
聖 圣
敘 叙
櫝 椟
譜 谱
濟 济
鉢 钵
寧 宁
鳩 鸠
絨 绒
繪 绘
蟯 蛲
該 该
鏷 镤
橫 横
釁 衅
螄 蛳
躊 踌
爍 烁
頑 顽
紓 纾
鸕 鸬
龔 龚
薘 荙
訝 讶
讜 谠
輟 辍
貞 贞
産 产
犢 犊
鬧 闹
鰩 鳐
鸝 鹂
脫 脱
麪 面
蠱 蛊
課 课
皺 皱
擴 扩
彊 强
蟄 蛰
車 车
鉍 铋
鏌 镆
駐 驻
鵓 鹁
髒 脏
繕 缮
滸 浒
鈥 钬
壯 壮
轟 轰
賞 赏
啣 衔
勢 势
噥 哝
筧 笕
籩 笾
編 编
慫 怂
蓮 莲
迴 回
獷 犷
彿 佛
糾 纠
戀 恋
贊 赞
眎 视
鮑 鲍
騐 验
纓 缨
餒 馁
錯 错
輞 辋
隣 邻
閥 阀
義 义
耬 耧
朮 术
褲 裤
傷 伤
錶 表
嘸 呒
絞 绞
鮋 鲉
凍 冻
瓏 珑
饒 饶
鱔 鳝
櫛 栉
觝 抵
鏡 镜
銑 铣
監 监
煢 茕
闥 闼
瑤 瑶
磧 碛
筦 管
鵪 鹌
擯 摈
詰 诘
襲 袭
淵 渊
鍶 锶
噸 吨
嫻 娴
塼 砖
蔔 卜
憂 忧
載 载
溈 沩
鴕 鸵
莖 茎
暘 旸
訛 讹
錡 锜
銠 铑
誰 谁
覲 觐
貴 贵
隸 隶
餽 馈
碼 码
擄 掳
毆 殴
轉 转
鉋 刨
駒 驹
絕 绝
詛 诅
補 补
陣 阵
顧 顾
實 实
黨 党
艫 舻
葯 药
賴 赖
遷 迁
痺 痹
飼 饲
篔 筼
攄 摅
躉 趸
氊 毡
閏 闰
頒 颁
純 纯
舖 铺
條 条
錠 锭
麩 麸
鴉 鸦
進 进
譟 噪
琺 珐
個 个
鶿 鹚
績 绩
詆 诋
佈 布
兌 兑
顒 颙
輸 输
裝 装
湞 浈
鍠 锽
婦 妇
廩 廪
諱 讳
議 议
釷 钍
鉶 铏
飽 饱
繾 缱
會 会
複 复
誆 诓
階 阶
鮐 鲐
嶔 嵚
螘 蚁
講 讲
撚 捻
亞 亚
厠 厕
傢 家
閤 合
餧 喂
羨 羡
許 许
輳 辏
滲 渗
儷 俪
頽 颓
鴿 鸽
揀 拣
鑊 镬
鍋 锅
賊 贼
問 问
巔 巅
歛 敛
據 据
衝 冲
鑥 镥
奧 奥
繩 绳
繽 缤
捫 扪
覦 觎
話 话
棲 栖
鋶 锍
噹 当
權 权
銃 铳
綑 捆
鰐 鳄
弒 弑
巗 岩
阯 址
攖 撄
檟 槚
閡 阂
鐠 镨
鴦 鸯
撫 抚
嬪 嫔
漲 涨
訴 诉
隷 隶
餾 馏
懾 慑
鋏 铗
緑 绿
籐 藤
壓 压
齒 齿
鯕 鲯
櫟 栎
闡 阐
鑠 铄
鉤 钩
給 给
硨 砗
詢 询
慮 虑
當 当
釹 钕
偸 偷
鍺 锗
翽 翙
鹼 碱
鑪 炉
變 变
圍 围
嬭 奶
崑 昆
頓 顿
鷯 鹩
蘗 檗
輝 辉
訟 讼
勱 劢
倣 仿
縧 绦
鍰 锾
風 风
鮪 鲔
戯 戏
憮 怃
貰 贳
農 农
閶 阊
鰻 鳗
缽 钵
麼 么
蕁 荨
蓀 荪
瑋 玮
鵑 鹃
顓 颛
習 习
體 体
揚 扬
機 机
灣 湾
決 决
鍥 锲
鋤 锄
緦 缌
奩 奁
鯪 鲮
曬 晒
嗶 哔
廼 乃
軻 轲
澇 涝
疋 匹
訊 讯
崐 昆
搖 摇
溝 沟
輜 辎
璡 琎
銥 铱
碩 硕
館 馆
吶 呐
儸 罗
綻 绽
爺 爷
麽 么
頴 颕
擁 拥
時 时
闋 阕
瑣 琐
過 过
鵐 鹀
繒 缯
髕 髌
慘 惨
仝 同
衞 卫
員 员
釣 钓
癢 痒
鋥 锃
鍤 锸
壩 坝
綽 绰
驪 骊
華 华
槳 桨
譴 谴
執 执
價 价
緻 致
鉺 铒
黽 黾
鯿 鳊
薀 蕰
掄 抡
覈 核
嘍 喽
簑 蓑
餓 饿
贛 赣
袞 衮
鐡 铁
別 别
厤 历
窪 洼
蘭 兰
鯉 鲤
褳 裢
鴻 鸿
總 总
墾 垦
佇 伫
韌 韧
驕 骄
鯔 鲻
臘 腊
歟 欤
痠 酸
離 离
鏤 镂
齧 啮
竪 竖
蟬 蝉
軲 轱
詵 诜
鹽 盐
孿 孪
飾 饰
炁 气
計 计
邏 逻
徑 径
縐 绉
鴒 鸰
禕 祎
掙 挣
舘 馆
梟 枭
銣 铷
產 产
粧 妆
厰 厂
暫 暂
礪 砺
萬 万
屜 屉
澱 淀
檳 槟
鈸 钹
儺 傩
嶽 岳
鰼 鳛
嬾 懒
資 资
轆 辘
毉 医
橈 桡
雋 隽
楊 杨
闍 阇
鑌 镔
烏 乌
獎 奖
鵒 鹆
駕 驾
顔 颜
軛 轭
慚 惭
棟 栋
埡 垭
噠 哒
勣 绩
啢 唡
灤 滦
鳧 凫
齦 龈
篩 筛
穨 颓
奪 夺
鶓 鹋
濱 滨
審 审
櫳 栊
鏹 镪
鉸 铰
廻 回
驁 骜
斂 敛
脅 胁
澆 浇
瘋 疯
瀏 浏
餕 馂
搗 捣
減 减
憚 惮
蠟 蜡
殞 殒
眡 视
鈣 钙
関 关
炤 照
鬩 阋
歷 历
禪 禅
蔭 荫
諳 谙
絲 丝
堿 碱
旂 旗
證 证
廐 厩
巒 峦
祕 秘
臚 胪
賜 赐
闢 辟
煥 焕
鱧 鳢
姪 侄
蕭 萧
擬 拟
聯 联
揮 挥
詳 详
極 极
鑷 镊
卹 恤
勸 劝
釺 钎
掃 扫
肅 肃
祗 只
涇 泾
檉 柽
峴 岘
甌 瓯
鈎 钩
缐 线
鮓 鲊
鰒 鳆
貝 贝
樞 枢
鎣 蓥
嶧 峄
窩 窝
鬨 哄
來 来
攬 揽
燜 焖
銹 锈
錸 铼
盞 盏
禿 秃
騾 骡
慄 栗
諉 诿
韋 韦
衊 蔑
剎 刹
鱒 鳟
濛 蒙
泝 溯
詞 词
盡 尽
僥 侥
髩 鬓
魨 鲀
勦 剿
樓 楼
臯 皋
潰 溃
紕 纰
襴 襕
狹 狭
獸 兽
遺 遗
峽 峡
駿 骏
贇 赟
國 国
縑 缣
龐 庞
幃 帏
輛 辆
鸛 鹳
語 语
瘡 疮
膚 肤
醤 酱
鴝 鸲
斬 斩
謳 讴
貲 资
嚶 嘤
鈹 铍
鎸 镌
為 为
簽 签
鶼 鹣
餿 馊
闌 阑
繹 绎
駔 驵
敗 败
曖 暧
艙 舱
潛 潜
卻 却
櫞 橼
癡 痴
釤 钐
奐 奂
穩 稳
鯨 鲸
飪 饪
濰 潍
觴 觞
長 长
祿 禄
佔 占
謂 谓
鮍 鲏
纏 缠
錒 锕
嘔 呕
蕘 荛
趙 赵
漚 沤
蔞 蒌
鬢 鬓
羥 羟
犧 牺
閩 闽
鐨 镄
攆 撵
殭 僵
撳 揿
茲 兹
綹 绺
賃 赁
壋 垱
驌 骕
黏 粘
絎 绗
諗 谂
襖 袄
礎 础
駡 骂
魢 鱾
鯧 鲳
鳶 鸢
嗩 唢
詬 诟
滯 滞
聰 聪
捲 卷
柵 栅
巹 卺
鱸 鲈
鏽 锈
輅 辂
與 与
撈 捞
鬍 胡
鸏 鹲
鐓 镦
託 托
視 视
餡 馅
鰣 鲥
鈧 钪
説 说
騷 骚
紹 绍
銼 锉
閾 阈
轅 辕
滄 沧
塋 茔
筍 笋
詗 诇
號 号
